Molecule List Name,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Precursor Neutral Mass,Mean Best Retention Time,Stdev Best Retention Time,Cv Total Area,Allium_Ursinum_OE11-E4-P14NEG Sum Total Area,Auricularia_Polytricha_OE21-4-F7NEG Sum Total Area,Blastobotrys_Sp_LG1401_ESA_OE21-4-E8F45NEG Sum Total Area,Craterellus_Cornucopioides_OE21-4-F12NEG Sum Total Area,Equisetum_Arvense_OE11-E4-P11NEG Sum Total Area,Ginko_biloba_OE11-3-E4-P27NEG Sum Total Area,Labilithrix_luteola_1B3R5D0E2N Sum Total Area,Paenibacillus_Alginolyticus_2B2R5DOE2N Sum Total Area,Rhodococcus_Sp_OE11-3-E4-A1NEG Sum Total Area,Thallasiosira_weissflogii_P42NEG Sum Total Area,Ulva_P56NEG Sum Total Area,Valonia_P52NEG Sum Total Area
PG,PG(16:0_18:3),C40H73O10P1,743.48686,[M-H],744.494136,10.88,0.03,281.9%,939026816,#N/A,14304,0,4872488,46282708,#N/A,#N/A,4187,115356,2437730,424309
SQDG,SQDG(16:0_18:3),C43H76O12S1,815.498473,[M-H],816.505749,10.14,0.05,233.6%,628685696,#N/A,13357,72409,938684096,207751456,#N/A,#N/A,15263,6976136704,5344951,11498756
PC,PC(16:0_18:2),C42H80N1O8P1,802.560359,[M+HCOO],757.562156,13.92,0.03,240%,606709632,575110,1577869,0,30263686,20765112,#N/A,0,#N/A,#N/A,#N/A,#N/A
PG,PG(16:1_18:1),C40H75O10P1,745.50251,[M-H],746.509786,12.46,0.04,162.9%,575540096,#N/A,#N/A,#N/A,46168312,48394676,#N/A,#N/A,#N/A,#N/A,#N/A,0
DGDG,DGDG(16:0_18:3),C49H86O15,959.594875,[M+HCOO],914.596672,11.92,0.01,178.1%,480622336,#N/A,6963,#N/A,#N/A,136107056,#N/A,#N/A,#N/A,0,21323708,3534418
PC,PC(16:0_18:3),C42H78N1O8P1,800.544709,[M+HCOO],755.546506,12.02,0.05,182.7%,338615360,0,420763,25144644,115625320,3203475,#N/A,#N/A,5603,#N/A,#N/A,#N/A
PI,PI(16:0_18:2),C43H79O13P1,833.518554,[M-H],834.52583,12.09,0.03,170.4%,286485440,204026,#N/A,#N/A,32479720,116039792,#N/A,#N/A,155085,0,4946722,#N/A
SQDG,SQDG(16:0_17:3),C42H74O12S1,847.488302,[M+HCOO],802.490099,7.16,0.03,153.9%,195246352,#N/A,441219,#N/A,201699776,12320080,#N/A,#N/A,#N/A,62671,17766922,478407
SQDG,SQDG(34:2),C43H78O12S1,817.514123,[M-H],818.521399,11.49,0.04,184.3%,187477808,0,0,0,672380288,63123780,#N/A,#N/A,0,1742935296,#N/A,#N/A
SQDG,SQDG(36:5),C45H76O12S1,839.498473,[M-H],840.505749,8.98,0.01,263.7%,149570304,12972,6938,53493,11179740,7192572,#N/A,#N/A,#N/A,0,104006,0
LPG,LPG(18:3),C24H43O9P1,505.257194,[M-H],506.26447,2.46,0.02,139.9%,139112144,52479,#N/A,#N/A,21403474,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hex1Cer,Hex1Cer(d16:1_18:1)+O:(s),C40H75N1O9,758.542386,[M+HCOO],713.544183,11.56,0.03,243.3%,128137744,0,0,646907,#N/A,#N/A,#N/A,#N/A,#N/A,0,79054,#N/A
PG,PG(16:0_18:2),C40H75O10P1,745.50251,[M-H],746.509786,12.39,0.06,135.5%,90614848,#N/A,21287,0,46168312,48394676,#N/A,#N/A,#N/A,#N/A,549191,0
PC,PC(18:0_18:2),C44H84N1O8P1,830.591659,[M+HCOO],785.593456,16.08,0.03,282.7%,83236320,0,0,#N/A,2955337,1499315,0,#N/A,#N/A,80757,0,2299
PG,PG(16:1_18:2),C40H73O10P1,743.48686,[M-H],744.494136,11.54,0.02,149.5%,81740000,#N/A,0,#N/A,27704704,31212788,#N/A,#N/A,#N/A,694352,759782,106587
DGDG,DGDG(18:2_18:3),C51H86O15,983.594875,[M+HCOO],938.596672,10.21,0.02,164.1%,51505244,0,#N/A,0,11040239,10502316,#N/A,#N/A,#N/A,#N/A,0,#N/A
SQDG,SQDG(17:2_18:3),C44H74O12S1,871.488302,[M+HCOO],826.490099,6.64,0.02,264.2%,43963708,6233,0,#N/A,124581,277182,#N/A,#N/A,#N/A,0,2331525,0
PC,PC(18:1_18:1),C44H84N1O8P1,830.591659,[M+HCOO],785.593456,15.97,0.04,280.1%,42804588,0,0,0,264391,95835,#N/A,#N/A,#N/A,501,#N/A,0
SQDG,SQDG(16:0_18:1),C43H80O12S1,819.529773,[M-H],820.537049,13.5,0.04,137.1%,37765640,0,#N/A,#N/A,46760456,47802220,#N/A,1142,#N/A,1266075,17001,1353
MGDG,MGDG(16:0_18:1),C43H80O10,801.573352,[M+HCOO],756.575149,16.17,0.02,147.6%,37664680,#N/A,#N/A,#N/A,653368,2031008,#N/A,#N/A,#N/A,27326514,289205,37142
LPE,LPE(20:3),C25H46N1O7P1,502.293914,[M-H],503.30119,2.6,0.06,186.5%,36641880,841102,74749,211835,7632023,4609353,#N/A,#N/A,#N/A,#N/A,#N/A,0
LPE,LPE(18:3),C23H42N1O7P1,474.262614,[M-H],475.26989,2.66,0.01,141.8%,36425084,#N/A,#N/A,900460,8679675,6673748,#N/A,#N/A,#N/A,#N/A,0,#N/A
SQDG,SQDG(33:2),C42H76O12S1,849.503952,[M+HCOO],804.505749,7.56,0.05,181.4%,30247828,0,75651,762898,50263760,2731372,#N/A,#N/A,#N/A,0,#N/A,249012
SQMG,SQMG(18:3),C27H46O11S1,577.268807,[M-H],578.276083,2.26,0.01,102%,24707424,#N/A,#N/A,0,16496615,11279887,#N/A,#N/A,#N/A,0,#N/A,#N/A
PG,PG(18:2_18:3),C42H73O10P1,767.48686,[M-H],768.494136,9.55,0.05,180.1%,23554558,36823016,0,0,2603587,223276,#N/A,#N/A,#N/A,#N/A,16611,0
PG,PG(16:0_18:0),C40H79O10P1,749.53381,[M-H],750.541086,16.11,0.03,220.4%,22479612,83712,#N/A,64188972,42532,296531,0,530409,#N/A,2709941,2598052,18062
PE,PE(16:0_18:3),C39H72N1O8P1,712.49228,[M-H],713.499556,12.56,0.04,162.6%,21944046,#N/A,#N/A,#N/A,3891724,5202770,#N/A,#N/A,209504,0,69913,#N/A
SQDG,SQDG(34:0),C43H82O12S1,821.545423,[M-H],822.552699,15.82,0.04,162.1%,21503538,167019,30587,202933,8350406,7912888,57164,#N/A,#N/A,57716,2148337,1906480
DGDG,DGDG(17:2_16:1),C48H84O15,945.579225,[M+HCOO],900.581022,7.85,0.05,143.4%,21040320,#N/A,#N/A,637,5485541,3833503,#N/A,#N/A,#N/A,#N/A,#N/A,0
PE,PE(18:2_18:3),C41H72N1O8P1,736.49228,[M-H],737.499556,10.7,0.03,240.5%,20629898,0,0,0,2279571,787656,#N/A,#N/A,#N/A,0,#N/A,166320
