Molecule List Name,Molecule,Molecule Formula,Precursor Mz,Precursor Adduct,Precursor Neutral Mass,Mean Best Retention Time,Stdev Best Retention Time,Cv Total Area,Allium_Ursinum_OE11-E4-P14POS Sum Total Area,Auricularia_Polytricha_OE21-4-F7POS Sum Total Area,Trichomonascus_vanleenenianus_OE21-4-E8F45POS Sum Total Area,Craterellus_Cornucopioides_OE21-4-F12POS Sum Total Area,Equisetum_Arvense_OE11-E4-P11POS Sum Total Area,Ginkgo_biloba_OE11-3-E4-P27POS Sum Total Area,Labilithrix_luteola_1B3R5D0E2 Sum Total Area,Paenibacillus_Alginolyticus_2B2R5DOE2 Sum Total Area,Rhodococcus_Sp_OE11-3-E4-A1POS Sum Total Area,Thalassiosira_weissflogii_P42POS Sum Total Area,Ulva_P56POS_20240924144544 Sum Total Area,Valonia_P52POS_20240924210008 Sum Total Area
LPC,LPC(16:0),C24H50N1O7P1,518.321711,[M+Na],495.33249,2.57,0.03,194.30%,9240260608,871205696,#N/A,734306,1797001728,1060077888,19294,3020,37599,#N/A,#N/A,#N/A
TG,TG(O-13:1_18:3_3:0),C37H64O5,611.464596,[M+Na],588.475375,7.08,0.03,246.70%,5347052544,199825,#N/A,#N/A,142898544,189816000,#N/A,0,52696,333546,#N/A,#N/A
PG,PG(22:5_18:4),C46H73O10P1,834.527961,[M+NH4],816.494136,10.14,0.01,192%,2586811648,0,#N/A,0,0,651996096,#N/A,#N/A,#N/A,#N/A,0,#N/A
MGDG,MGDG(18:3_18:3),C45H74O10,792.562024,[M+NH4],774.528199,9.85,0.02,244.70%,2183363072,#N/A,835192,#N/A,#N/A,#N/A,#N/A,0,#N/A,0,0,818198
PG,PG(34:2),C40H75O10P1,764.543611,[M+NH4],746.509786,12.46,0.03,243.80%,1665740288,#N/A,144222,#N/A,114783960,119749656,#N/A,0,229857,#N/A,556888,0
PG,PG(26:8_15:2),C47H73O10P1,829.501412,[M+H],828.494136,7.05,0.05,216%,1261579520,116658,160242,0,84954648,406112832,0,#N/A,#N/A,3071129,#N/A,47614
DG,DG(16:1_18:2),C37H66O5,608.524851,[M+NH4],590.491025,15.8,0.03,198.70%,947240512,#N/A,#N/A,#N/A,421336960,16369802,1411542,0,#N/A,96396,904728,2017517
TG,TG(P-13:1_19:1_2:0),C37H66O5,608.524851,[M+NH4],590.491025,15.83,0.02,174.10%,947240512,#N/A,#N/A,#N/A,424106336,183887712,1411542,0,#N/A,2209399,904728,11183
PC,PC(37:7),C45H76N1O8P1,790.538132,[M+H],789.530856,7.11,0.02,304.60%,818387200,0,0,0,0,28045472,#N/A,0,330506,#N/A,2585,0
PI,PI(24:4_18:2),C51H87O13P1,956.622256,[M+NH4],938.58843,10.21,0.04,188.90%,661365312,#N/A,#N/A,3014003,81981384,78152400,#N/A,#N/A,48813,57847,#N/A,#N/A
LPC,LPC(18:3),C26H48N1O7P1,518.324116,[M+H],517.31684,2.44,0.02,227.40%,605821824,13308052,11231715,3794465,133566272,61448416,0,#N/A,6296,368218,#N/A,0
PC,PC(42:12),C50H76N1O8P1,850.538132,[M+H],849.530856,10.62,0.02,127%,471136768,#N/A,90038,#N/A,340655552,476462528,#N/A,#N/A,9391,#N/A,0,0
PG,PG(23:7_16:0),C45H75O10P1,807.517062,[M+H],806.509786,8.52,0.05,246.70%,420147904,0,0,#N/A,7570622,47871756,#N/A,110188,#N/A,0,#N/A,0
PE,PE(16:0_18:2),C39H74N1O8P1,716.522482,[M+H],715.515206,14.48,0.08,242%,413144960,#N/A,#N/A,#N/A,#N/A,2501403,1365511,173611,#N/A,0,220889,#N/A
TG,TG(36:8_18:1),C57H92O6,873.696667,[M+H],872.689391,16.81,0.11,122.70%,323517568,0,#N/A,192435360,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A
PC,PC(46:11),C54H86N1O8P1,908.616382,[M+H],907.609106,7.86,0.05,256.80%,254909024,#N/A,35112,3922234,32493710,659519,#N/A,0,#N/A,1917724,357143,69174
