SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
902,LPE(18:1)+H,C7 H11,C7H11,C2,2,6,95.08597454,29765.47814,95.08552647,4.712303969,3.9149223,
902,LPE(18:1)+H,C8 H13,C8H13,C2,2,8,109.1014747,19316.54124,109.1011765,2.733169373,3.9149223,
902,LPE(18:1)+H,C8 H15,C8H15,C2,2,9,111.1170805,9169.219218,111.1168265,2.285877367,3.9149223,
902,LPE(18:1)+H,C9 H13,C9H13,C2,2,10,121.1014158,15289.14692,121.1011765,1.976284096,3.9149223,
902,LPE(18:1)+H,C9 H15,C9H15,C2,2,11,123.1168803,9243.660619,123.1168265,0.436844926,3.9149223,
902,LPE(18:1)+H,C10 H15,C10H15,C2,2,12,135.1167941,16835.52162,135.1168265,-0.23950079,3.9149223,
902,LPE(18:1)+H,C11 H17,C11H17,C2,2,14,149.1325966,8576.219093,149.1324765,0.805385083,3.9149223,
902,LPE(18:1)+H,18:1+44.05,R1-OH+NH(CH2)2,C01,2,20,308.2942026,67595.43147,308.2947905,-1.906749845,3.9149223,
902,LPE(18:1)+H,18:1+75.04,NL[PE],C0,2,21,339.2889628,827834.7179,339.2893715,-1.204469991,3.9149223,
1139,LPE(18:1)+H,C7 H11,C7H11,C2,2,16,95.08597454,35325.91016,95.08552647,4.712303969,3.9149123,
1139,LPE(18:1)+H,C8 H13,C8H13,C2,2,22,109.1014747,22925.02734,109.1011765,2.733169373,3.9149123,
1139,LPE(18:1)+H,C8 H15,C8H15,C2,2,24,111.1170805,10882.10352,111.1168265,2.285877367,3.9149123,
1139,LPE(18:1)+H,C9 H13,C9H13,C2,2,25,121.1014158,18145.2832,121.1011765,1.976284096,3.9149123,
1139,LPE(18:1)+H,C9 H15,C9H15,C2,2,26,123.1168803,10970.45117,123.1168265,0.436844926,3.9149123,
1139,LPE(18:1)+H,C10 H15,C10H15,C2,2,29,135.1167941,19980.5332,135.1168265,-0.23950079,3.9149123,
1139,LPE(18:1)+H,C11 H17,C11H17,C2,2,32,149.1325966,10178.32617,149.1324765,0.805385083,3.9149123,
1139,LPE(18:1)+H,18:1+44.05,R1-OH+NH(CH2)2,C01,2,43,308.2942026,80222.80469,308.2947905,-1.906749845,3.9149123,
1139,LPE(18:1)+H,18:1+75.04,NL[PE],C0,2,45,339.2889628,982480.9375,339.2893715,-1.204469991,3.9149123,
,,,,,,,,,,,,
SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
3547,MGDG(16:3_18:3)+Na,16:3+75.04,R1OCCC=O,C1,2,17,307.226302,149646.6495,307.2267715,-1.52810345,11.691054,
3547,MGDG(16:3_18:3)+Na,NL[18:3+18.01],M-R2+Na,C01,2,19,491.2604669,807827.3173,491.2615415,-2.187339191,11.691054,
3547,MGDG(16:3_18:3)+Na,NL[16:3+18.01],M-R1+Na,C01,2,20,519.2915052,388175.5846,519.2928415,-2.573249338,11.691054,
3547,MGDG(16:3_18:3)+Na,MGDG(34:6)+Na,MGDG(34:6)+Na,,2,22,769.4853673,519829.6284,769.4861215,-0.980092297,11.691054,
3678,MGDG(16:3_18:3)+Na,16:3+75.04,R1OCCC=O,C1,2,17,307.226302,4724.359375,307.2267715,-1.52810345,11.691044,
3678,MGDG(16:3_18:3)+Na,NL[18:3+18.01],M-R2+Na,C01,2,19,491.2604669,25503.1875,491.2615415,-2.187339191,11.691044,
3678,MGDG(16:3_18:3)+Na,NL[16:3+18.01],M-R1+Na,C01,2,20,519.2915052,12254.74121,519.2928415,-2.573249338,11.691044,
3678,MGDG(16:3_18:3)+Na,MGDG(34:6)+Na,MGDG(34:6)+Na,,2,22,769.4853673,16411.07227,769.4861215,-0.980092297,11.691044,
3678,MGDG(16:3_18:3)+Na,MGDG(34:6)+Na,MGDG(34:6)+Na,,2,22,769.4853673,16411.07227,769.4861215,-0.980092297,11.691044,
,,,,,,,,,,,,
SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
3548,MGDG(16:3_18:3)+NH4,16:3+75.04,R1OCCC=O,C1,2,92,307.2266743,699481.7451,307.2267715,-0.316302193,11.457672,
3548,MGDG(16:3_18:3)+NH4,18:3+75.04,R2OCCC=O,C1,2,98,335.2577875,626245.7214,335.2580715,-0.847097574,11.457672,
3548,MGDG(16:3_18:3)+NH4,34:6+75.04,M-Hex-NH3-H3O,C0,2,101,567.441305,37225.65568,567.4407865,0.913860363,11.457672,
3549,MGDG(16:3_18:3)+NH4,16:3+75.04,R1OCCC=O,C1,2,6,307.2264599,7087.678783,307.2267715,-1.014155215,11.544009,
3549,MGDG(16:3_18:3)+NH4,18:3+75.04,R2OCCC=O,C1,2,7,335.2595436,6658.10695,335.2580715,4.391045694,11.544009,
3549,MGDG(16:3_18:3)+NH4,18:3+75.04_13C1,R2OCCC=O_13C1,ISO,2,8,336.2615033,8445.790956,336.2614265,0.22845828,11.544009,
3549,MGDG(16:3_18:3)+NH4,18:3+75.04_13C2,R2OCCC=O_13C2,ISO,2,9,337.2649518,8997.028319,337.2647815,0.505101142,11.544009,
3608,MGDG(16:3_18:3)+NH4,16:3+75.04,R1OCCC=O,C1,2,108,307.2266743,441782.8438,307.2267715,-0.316302193,11.457662,
3608,MGDG(16:3_18:3)+NH4,18:3+75.04,R2OCCC=O,C1,2,114,335.2577875,395528,335.2580715,-0.847097574,11.457662,
3608,MGDG(16:3_18:3)+NH4,34:6+75.04,M-Hex-NH3-H3O,C0,2,117,567.441305,23511.20117,567.4407865,0.913860363,11.457662,
3634,MGDG(16:3_18:3)+NH4,16:3+75.04,R1OCCC=O,C1,2,6,307.2264599,6160.085938,307.2267715,-1.014155215,11.543999,
3634,MGDG(16:3_18:3)+NH4,16:3+75.04_13C1,R1OCCC=O_13C1,ISO,2,7,308.2307406,6986.063965,308.2301265,1.992476285,11.543999,
3634,MGDG(16:3_18:3)+NH4,16:3+75.04_13C2,R1OCCC=O_13C2,ISO,2,8,309.2331636,5976.589844,309.2334815,-1.028071956,11.543999,
3634,MGDG(16:3_18:3)+NH4,18:3+75.04,R2OCCC=O,C1,2,9,335.2595436,5786.733887,335.2580715,4.391045694,11.543999,
3634,MGDG(16:3_18:3)+NH4,18:3+75.04_13C1,R2OCCC=O_13C1,ISO,2,10,336.2615033,7340.456543,336.2614265,0.22845828,11.543999,
3634,MGDG(16:3_18:3)+NH4,18:3+75.04_13C2,R2OCCC=O_13C2,ISO,2,11,337.2649518,7819.55127,337.2647815,0.505101142,11.543999,
,,,,,,,,,,,,
SpecId,LipidIon,ProName,ProKey,Category,Level,PeakIdx,ObsMz,ObsIty,CalcMz,Delta(ppm),MS2RT,Quant Group
3974,Cer(d18:1_12:0)+H,d18:1+44.05,SPH(R1)+H-H2O-CH2O,C01,2,7,252.2683553,267745.7079,252.2685755,-0.872690413,12.827961,
