"Molecule","Precursor_Adduct","Retention_Time","Retention_Time_Std_Dev","Molecule_List","Slope","Intercept","R_squared","LOD","LOQ"
"DG(15:0/18:1)","[M+NH4]",18.19,0.08,"DG",77929129.5643423,-6266879.91967506,0.995702886167763,0.015625,0.03125
"15:0-18:1(d7) DAG","[M+NH4]",18.17,0.09,"DG",78287261.3030273,-6257076.77779785,0.995931700643351,0.015625,0.03125
"DGTS(16:0/16:0)","[M+H]",17.05,0.11,"DGTS",1836988284.57832,-60103542.8043319,0.999679272429548,0.015625,0.15625
"GlcCer(d18:1/12:0)","[M+H]",11.57,0.1,"HexCer",123454645.454641,-1404430.3364621,0.998433867705967,0.0101375,0.101375
"LPC(18:1)","[M+H]",3.83,0.04,"LPC",540191484.962824,-39426542.2741875,0.997917565482786,0.015625,0.15625
"18:1(d7) Lyso PC","[M+H]",3.83,0.04,"LPC",540191484.962824,-39426542.2741875,0.997917565482786,0.015625,0.15625
"LPE(18:1)","[M+H]",4.01,0.1,"LPE",96486992.4731004,-6071823.65234653,0.998009778440924,0.015625,0.15625
"18:1(d7) Lyso PE","[M+H]",4.01,0.1,"LPE",96486992.4731004,-6071823.65234653,0.998009778440924,0.015625,0.15625
"MGDG(16:3/18:3)","[M+NH4]",11.53,0.04,"MGDG",72811832.0214218,-3536746.00036101,0.998711315032972,0.125,0.25
"PC(15:0/18:1)","[M+H]",15.85,0.12,"PC",1094551430.87192,-51209199.5584829,0.998928223657602,0.015625,0.15625
"15:0-18:1(d7) PC","[M+H]",15.87,0.14,"PC",1094756928.19575,-50838993.2379066,0.998961769983895,0.015625,0.15625
"PE(15:0/18:1)","[M+H]",16.18,0.08,"PE",180754746.699474,-3147452.92075808,0.99983749499086,0.015625,0.15625
"15:0-18:1(d7) PE","[M+H]",16.15,0.05,"PE",177123178.908053,-2748056.27671477,0.999853557394353,0.015625,0.15625
"PG(15:0/18:1)","[M+NH4]",14.93,0.06,"PG",83587230.6806674,-2701574.87797833,0.999741884992698,0.015625,0.15625
"PI(15:0/18:1)","[M+NH4]",14.56,0.01,"PI",46423259.5005884,-1369468.95920578,0.999738135913404,0.125,0.25
"15:0-18:1(d7) PI","[M+NH4]",14.56,0.02,"PI",46917453.7542966,-1375697.19729239,0.999741210085902,0.125,0.25
"15:0-18:1(d7) PS","[M+H]",14,0.06,"PS",657929.7766811,-60220.6058463786,0.995456840226922,0.0625,0.25
