"Molecule","Slope","Intercept","R_squared","LOD","LOQ"
"Cer(d18:1/12:0)",1.05611374369456,8.34582274632801,0.99831530635762,0.0017671875,0.00706875
"Cer(d18:1/25:0)",0.921266098640362,8.52050272667652,0.984296531620158,0.0026953125,0.0026953125
"Cer(d18:1/25:0)",0.00427340024343218,5.60071642093868,5.01887764421033e-05,0.01078125,Inf
"CerP(d18:1/12:0)",1.51758924660068,7.19900114756765,0.930478411965715,0.02228125,0.0445625
"DG(15:0/18:1)",0.602207668122565,6.27798953695897,0.754123712325167,0.015625,0.3125
"DG(15:0/18:1)",1.08940269056082,7.81311951904309,0.997943609784992,0.015625,0.03125
"15:0-18:1(d7) DAG",0.65501501473088,6.24604882404511,0.577096064194575,0.015625,0.625
"15:0-18:1(d7) DAG",1.1085754478203,7.81644165026374,0.99852007601284,0.015625,0.03125
"DGDG(18:3/18:3)",1.19502235176191,6.08323402601919,0.828257185668666,0.078125,0.125
"DGTS(16:0/16:0)",1.07213704590127,9.23342987250459,0.999503130328986,0.015625,0.015625
"DGTS(16:0/16:0)",1.27396614878338,5.07324760004773,0.89315971990902,1,1.25
"GlcCer(d18:1/12:0)",1.48721968188409,8.45094823070571,0.92687939943542,0.0101375,0.0101375
"LPC(18:1)",1.12184967261805,8.65108966997805,0.997640541183113,0.015625,0.015625
"18:1(d7) Lyso PC",1.12184967261805,8.65108966997805,0.997640541183113,0.015625,0.015625
"LPE(18:1)",1.08530207795648,7.91878932649479,0.997624596713483,0.015625,0.015625
"18:1(d7) Lyso PE",1.08530207795648,7.91878932649479,0.997624596713483,0.015625,0.015625
"MG(18:1)",0.838729867285623,4.49129226097584,0.796938152707292,1,2.5
"MG(18:1)",1.45788429773245,4.43587058279074,0.908343714863685,0.625,1
"MGDG(16:3/18:3)",1.08089034891511,7.81693064580552,0.998415766143459,0.125,0.25
"PC(15:0/18:1)",1.07237681978847,8.99360327525217,0.999281649410152,0.015625,0.015625
"15:0-18:1(d7) PC",1.07308168287811,8.99415102706501,0.999345315533195,0.015625,0.015625
"PE(15:0/18:1)",1.07615505403671,8.2439002252331,0.997533047868022,0.015625,0.015625
"15:0-18:1(d7) PE",1.07187520357034,8.23678676616155,0.997523799420246,0.015625,0.015625
