"Molecule","Precursor_Adduct","Retention_Time","Retention_Time_Std_Dev","Molecule_List","Slope","Intercept","R_squared","LOD","LOQ"
"Cer(d18:1/12:0)","[M+H]",12.93,0.06,"Cer",225906222.630961,-1548035.60270757,0.997918185169095,0.0017671875,0.00706875
"Cer(d18:1/25:0)","[M+H]",21.74,0.05,"Cer",413177801.509415,-1868793.9546931,0.997474779707238,0.0026953125,0.026953125
"CerP(d18:1/12:0)","[M+H]",10.72,0.1,"CerP",11036921.308105,-281432.224936957,0.990010290016576,0.02228125,0.0445625
"DG(15:0/18:1)","[M+H]",18.2,0.11,"DG",2086132.212877,29411.952888086,0.980664579012683,0.015625,0.3125
"DG(15:0/18:1)","[M+NH4]",18.19,0.08,"DG",77929129.5643423,-6266879.91967506,0.995702886167763,0.015625,0.03125
"15:0-18:1(d7) DAG","[M+H]",18.2,0.11,"DG",2233673.99114244,15155.0030685919,0.984572000726324,0.015625,0.625
"15:0-18:1(d7) DAG","[M+NH4]",18.17,0.09,"DG",78287261.3030273,-6257076.77779785,0.995931700643351,0.015625,0.03125
"DGDG(18:3/18:3)","[M+NH4]",12.01,0.03,"DGDG",2226605.1949402,-299436.590219397,0.98755141161794,0.078125,0.125
"DGTS(16:0/16:0)","[M+H]",17.05,0.11,"DGTS",1836988284.57832,-60103542.8043319,0.999679272429548,0.015625,0.15625
"GlcCer(d18:1/12:0)","[M+H]",11.57,0.1,"HexCer",123454645.454641,-1404430.3364621,0.998433867705967,0.0101375,0.101375
"LPC(18:1)","[M+H]",3.83,0.04,"LPC",540191484.962824,-39426542.2741875,0.997917565482786,0.015625,0.15625
"18:1(d7) Lyso PC","[M+H]",3.83,0.04,"LPC",540191484.962824,-39426542.2741875,0.997917565482786,0.015625,0.15625
"LPE(18:1)","[M+H]",4.01,0.1,"LPE",96486992.4731004,-6071823.65234653,0.998009778440924,0.015625,0.15625
"18:1(d7) Lyso PE","[M+H]",4.01,0.1,"LPE",96486992.4731004,-6071823.65234653,0.998009778440924,0.015625,0.15625
