Molecule List,Molecule,Mean Best Retention Time,Stdev Best Retention Time,Cv Best Retention Time,Mean Total Area,Stdev Total Area,Cv Total Area,Precursor Mz,Precursor Adduct,9- Sum Total Area,11- Sum Total Area,13- Sum Total Area,15- Sum Total Area,18- Sum Total Area,20- Sum Total Area,22- Sum Total Area,24- Sum Total Area,26 Sum Total Area
TG,TG(16:1_16:1_18:1),23.22,0.01,0%,610187552,9208878,1.50%,846.754517,[M+NH4],599078080,#N/A,#N/A,#N/A,606359680,#N/A,619201408,#N/A,616111040
TG,TG(3:0_16:0_15:1),13.64,0.04,0.30%,74593704,1966431,2.60%,631.490811,[M+Na],75722824,74980280,74271216,73575248,72267768,74339904,76010368,78281568,71894160
TG,TG(16:0_2:0_18:1)+OO:(s),17.32,0.02,0.10%,83404395,2236271,2.70%,691.51194,[M+Na],84762160,82094680,80393576,84532248,79386376,85555888,83925648,85063096,84925880
TG,TG(16:0_16:1_16:2),22.5,0.02,0.10%,1721119744,49564551,2.90%,818.723217,[M+NH4],#N/A,1772322304,1717662720,#N/A,#N/A,1673374208,#N/A,#N/A,#N/A
TG,TG(O-37:4_3:0),19.17,0.02,0.10%,20677687,652812,3.20%,690.603101,[M+NH4],20322510,20787388,19739462,20011828,20377010,21151516,20968366,21912746,20828358
TG,TG(O-7:0_8:0_24:1),19.74,0.01,0%,132134239,4367766,3.30%,682.634402,[M+NH4],137289280,128474664,137959968,129975176,131182792,137892960,127479256,130924936,128029120
TG,TG(18:0_18:1_18:2),24.67,0.01,0%,314697643,10816363,3.40%,902.817117,[M+NH4],311386816,322714752,309401248,328460160,315260416,294768000,321277568,304445632,324564192
TG,TG(18:3_18:3_20:5),20.87,0.02,0.10%,24189279,838360,3.50%,914.723217,[M+NH4],23147468,23169958,24705998,23112008,24278270,24656372,25332394,24413256,24887786
PE,PE(18:1_18:1),16.67,0.01,0.10%,344800619,13624611,4%,744.553782,[M+H],336160640,335855392,353989664,334304352,333308544,363155872,337458336,369067936,339904832
BisMePE,BisMePE(16:1_18:1),16.67,0.01,0.10%,344800619,13624611,4%,744.553782,[M+H],336160640,335855392,353989664,334304352,333308544,363155872,337458336,369067936,339904832
MePC,MePC(39:10),19.65,0.01,0.10%,9054038,398887,4.40%,827.545957,[M+H],9334241,9370265,8594961,8694128,9022105,8975059,9398188,8488192,9609203
TG,TG(34:1_16:1)+OO:(s),20.89,0.03,0.10%,35237542,1607783,4.60%,880.759996,[M+NH4],36912044,38024912,36132552,35194032,33591044,33270522,34714400,35586544,33711828
TG,TG(16:1_16:1_16:1),22.48,0.02,0.10%,1768975815,82713787,4.70%,818.723217,[M+NH4],1717989120,1772322304,1717662720,1852515584,1829985152,1677311872,1854405632,1643671936,1854918016
