Molecule List Name,Precursor Name,Explicit Retention time,SMILES,Precursor Formula,Precursor Adduct,Precursor Charge,Explicit Retention Time Window
AcHexCmE,AcHexCmE(16:0),20.97028797,OC2C(O)C(O)C(COC(=O)CCCCCCCCCCCCCCC)OC2OC(CC35C)CCC3=CCC1C5CCC4(C)C1CCC4C(C)CCC(C)C(C)C,C50 H88 O7,M+NH4,1,0
AcHexSiE ,AcHexSiE (16:0),21.3027772,OC1C(O)C(O)C(COC(=O)CCCCCCCCCCCCCCC)OC1OC(CC3(C)C5CCC24C)CCC3=CCC5C2CCC4C(C)CCC(CC)C(C)C,C51 H90 O7,M+NH4,1,0
AcHexSiE ,AcHexSiE (18:0),22.20550208,OC1C(O)C(O)C(COC(=O)CCCCCCCCCCCCCCCCC)OC1OC(CC3(C)C5CCC24C)CCC3=CCC5C2CCC4C(C)CCC(CC)C(C)C,C53 H94 O7,M+NH4,1,0
AcHexSiE ,AcHexSiE (18:1),21.31198109,OC1C(O)C(O)C(COC(=O)CCCCCCCCCCCCCCC=CC)OC1OC(CC3(C)C5CCC24C)CCC3=CCC5C2CCC4C(C)CCC(CC)C(C)C,C53 H92 O7,M+NH4,1,0
AcHexSiE ,AcHexSiE (18:2),20.57440076,OC1C(O)C(O)C(COC(=O)CCCCCCCCCCCCC=CC=CC)OC1OC(CC3(C)C5CCC24C)CCC3=CCC5C2CCC4C(C)CCC(CC)C(C)C,C53 H90 O7,M+NH4,1,0
AcHexSiE ,AcHexSiE (18:3),19.89473437,OC1C(O)C(O)C(COC(=O)CCCCCCCCCCC=CC=CC=CC)OC1OC(CC3(C)C5CCC24C)CCC3=CCC5C2CCC4C(C)CCC(CC)C(C)C,C53 H88 O7,M+NH4,1,0
Cer,Cer(d13:0_37:1),25.48994836,CCCCCCCCCCC(C(COC(=O)CCCCCCCCCCCCCCCCCCCCCCC)NC(=O)CCCCCCCCCC=CC)O,C50 H97 N1 O4,M+H-H2O,1,0
Cer,Cer(d14:1_12:0),9.041357446,CCCCCCCCCC=CC(C(CO)NC(=O)CCCCCCCCCCC)O,C26 H51 N1 O3,M+H,1,0
Cer,Cer(d14:1_13:0),10.18914282,CCCCCCCCCC=CC(C(CO)NC(=O)CCCCCCCCCCCC)O,C27 H53 N1 O3,M+H-H2O,1,0
Cer,Cer(d14:1_20:0),16.49188773,CCCCCCCCCC=CC(C(CO)NC(=O)CCCCCCCCCCCCCCCCCCC)O,C34 H67 N1 O3,M+H-H2O,1,0
Cer,Cer(d16:0_16:1),13.99554613,CCCCCCCCCCCCCC(C(CO)NC(=O)CCCCCCCCCCCCC=CC)O,C32 H63 N1 O3,M+H-H2O,1,0
Cer,Cer(d16:0_16:1)+O:(s),13.243532,CCCCCCCCCCCCCC(C(CO)NC(=O)CCCCCCCCCCCC(O)C=CC)O,C32 H63 N1 O4,M+H,1,0
Cer,Cer(d16:0_21:1),17.25716323,CCCCCCCCCCCCCC(C(CO)NC(=O)CCCCCCCCCCCCCCCCCC=CC)O,C37 H73 N1 O3,M+H,1,0
Cer,Cer(d16:0_21:1),17.49049119,CCCCCCCCCCCCCC(C(CO)NC(=O)CCCCCCCCCCCCCCCCCC=CC)O,C37 H73 N1 O3,M+H,1,0
Cer,Cer(d16:0_21:1),17.73173046,CCCCCCCCCCCCCC(C(CO)NC(=O)CCCCCCCCCCCCCCCCCC=CC)O,C37 H73 N1 O3,M+H,1,0
Cer,Cer(d16:0_22:1),18.13843958,CCCCCCCCCCCCCC(C(CO)NC(=O)CCCCCCCCCCCCCCCCCCC=CC)O,C38 H75 N1 O3,M+H,1,0
Cer,Cer(d16:0_23:1),18.74555489,CCCCCCCCCCCCCC(C(CO)NC(=O)CCCCCCCCCCCCCCCCCCCC=CC)O,C39 H77 N1 O3,M+H,1,0
Cer,Cer(d16:0_23:5),15.0065275,CCCCCCCCCCCCCC(C(CO)NC(=O)CCCCCCCCCCCC=CC=CC=CC=CC=CC)O,C39 H69 N1 O3,M+H,1,0
Cer,Cer(d16:1_15:0),16.04790404,CCCCCCCCCCCC=CC(C(CO)NC(=O)CCCCCCCCCCCCCC)O,C31 H61 N1 O3,M+H,1,0
Cer,Cer(d16:1_18:0),18.17374806,CCCCCCCCCCCC=CC(C(CO)NC(=O)CCCCCCCCCCCCCCCCC)O,C34 H67 N1 O3,M+H,1,0
Cer,Cer(d16:1_19:2),14.2844982,CCCCCCCCCCCC=CC(C(CO)NC(=O)CCCCCCCCCCCCCC=CC=CC)O,C35 H65 N1 O3,M+H,1,0
